aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
235,323,-417,-52.979,18.066,2.136,5.0,7.0,8.0,21.0,0.0
219,380,-921,-61.646,41.199,1.282,6.0,7.0,7.0,22.0,0.0
417,369,-1.225,-44.617,62.500,-2.563,6.0,8.0,7.0,22.0,0.0
456,371,-1.294,-13.916,18.494,-4.395,6.0,7.0,7.0,21.0,0.0
340,391,-1.315,16.052,-23.621,-5.066,5.0,7.0,6.0,21.0,0.0
321,385,-1.125,26.123,-28.625,-6.104,6.0,7.0,7.0,22.0,0.0
490,365,-926,33.325,-22.156,-7.507,6.0,7.0,7.0,21.0,0.0
593,363,-852,34.119,-13.489,-671,5.0,8.0,7.0,22.0,0.0
689,351,-776,37.781,-9.949,13.672,5.0,7.0,7.0,20.0,0.0
623,325,-791,40.100,-7.690,20.142,4.0,7.0,7.0,20.0,0.0
561,302,-811,44.495,-3.296,25.818,4.0,6.0,7.0,19.0,0.0
520,260,-804,42.114,-5.676,27.771,4.0,5.0,6.0,16.0,0.0
524,256,-796,26.184,-13.489,41.260,4.0,5.0,5.0,14.0,0.0
469,347,-790,13.245,-21.729,56.885,2.0,4.0,4.0,12.0,0.0
396,423,-776,20.935,-13.184,57.739,1.0,3.0,3.0,10.0,0.0
389,425,-744,25.024,-11.719,55.298,1.0,2.0,3.0,7.0,0.0
358,436,-727,23.926,-19.226,51.819,0.0,1.0,2.0,6.0,0.0
332,441,-737,14.893,-32.959,52.612,0.0,1.0,3.0,5.0,0.0
310,484,-767,732,-42.480,55.298,0.0,0.0,1.0,4.0,0.0
300,546,-790,-2.930,-42.725,57.800,0.0,1.0,1.0,3.0,0.0
328,549,-778,-2.441,-43.823,61.035,0.0,0.0,1.0,2.0,0.0
293,600,-780,-4.333,-49.988,57.922,0.0,1.0,1.0,2.0,0.0
267,606,-788,4.272,-45.166,51.453,0.0,0.0,1.0,1.0,0.0
248,587,-794,7.263,-42.908,46.509,0.0,0.0,1.0,1.0,0.0
237,584,-804,8.789,-41.809,46.387,0.0,0.0,2.0,1.0,0.0
245,624,-807,7.446,-32.532,47.424,0.0,0.0,1.0,1.0,0.0
273,619,-785,15.991,-16.418,47.424,0.0,0.0,1.0,1.0,0.0
337,607,-725,9.460,-21.423,44.922,0.0,0.0,1.0,0.0,0.0
292,608,-762,12.939,-27.100,46.204,0.0,0.0,1.0,0.0,0.0
253,621,-793,11.230,-33.386,49.316,0.0,0.0,0.0,0.0,0.0
258,634,-777,12.878,-27.222,43.945,0.0,0.0,1.0,1.0,0.0
279,627,-724,16.968,-23.560,35.706,0.0,0.0,1.0,0.0,0.0
274,622,-717,16.113,-23.987,33.325,0.0,0.0,1.0,0.0,0.0
299,631,-712,14.893,-22.522,32.043,0.0,0.0,0.0,0.0,0.0
334,618,-709,15.930,-22.461,33.630,0.0,0.0,0.0,0.0,0.0
328,612,-722,13.245,-24.231,34.485,0.0,0.0,0.0,0.0,0.0
327,626,-725,9.705,-18.982,33.447,0.0,0.0,1.0,0.0,0.0
330,641,-705,7.568,-16.052,32.776,0.0,0.0,1.0,0.0,0.0
323,658,-691,6.409,-12.939,35.400,0.0,0.0,1.0,0.0,0.0
317,650,-689,9.277,-14.160,36.377,0.0,0.0,0.0,0.0,0.0
295,640,-698,10.925,-16.602,34.119,0.0,0.0,1.0,0.0,0.0
302,644,-702,13.367,-19.958,29.663,0.0,0.0,1.0,0.0,0.0
318,658,-676,12.573,-22.888,29.907,0.0,0.0,0.0,0.0,0.0
305,667,-668,11.597,-27.039,29.175,0.0,0.0,1.0,0.0,0.0
275,674,-654,11.719,-27.771,27.283,0.0,0.0,1.0,0.0,0.0
252,684,-642,12.451,-26.184,23.071,0.0,0.0,1.0,0.0,0.0
238,678,-623,13.489,-22.339,20.264,0.0,0.0,1.0,0.0,0.0
225,675,-620,10.681,-18.250,19.165,0.0,0.0,1.0,0.0,0.0
215,685,-607,8.240,-15.259,19.531,0.0,0.0,1.0,0.0,0.0
216,685,-585,3.967,-10.010,18.372,0.0,0.0,1.0,0.0,0.0
212,690,-573,1.343,-10.254,11.719,0.0,0.0,0.0,0.0,0.0
288,695,-594,13.855,6.897,-610,0.0,0.0,1.0,0.0,0.0
314,690,-592,3.540,2.808,-2.625,0.0,0.0,1.0,0.0,0.0
325,708,-613,-3.784,183,-3.723,0.0,0.0,1.0,1.0,0.0
320,715,-634,-5.127,-1.465,-4.272,0.0,0.0,1.0,0.0,0.0
316,714,-654,-4.456,-244,-2.319,0.0,0.0,1.0,0.0,0.0
322,716,-655,-5.127,2.991,-122,0.0,0.0,1.0,0.0,0.0
321,724,-652,-4.150,3.418,183,0.0,0.0,0.0,0.0,0.0
300,721,-648,1.526,2.502,-1.404,0.0,0.0,1.0,0.0,0.0
289,713,-646,7.263,2.625,-5.127,0.0,0.0,1.0,0.0,0.0
290,704,-635,7.507,4.211,-6.653,0.0,0.0,1.0,0.0,0.0
315,708,-620,5.615,4.639,-6.042,0.0,0.0,1.0,0.0,0.0
310,705,-615,1.587,4.211,-4.883,0.0,0.0,1.0,1.0,0.0

595,456,-1.068,-35.461,22.766,10.315,3.0,9.0,6.0,18.0,0.0
