aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.795,0.156,-0.045,-6.897,-37.170,74.402,5.0,12.0,16.0,37.0,8.0
0.708,0.166,-0.037,-2.686,-46.875,65.613,5.0,11.0,17.0,37.0,8.0
0.671,0.177,-0.031,3.662,-45.349,52.246,5.0,12.0,17.0,35.0,8.0

1.224,-0.427,1.000,24.536,1.526,-1.892,4.0,10.0,16.0,34.0,6.0
1.085,-0.142,0.384,-56.641,11.902,30.090,4.0,10.0,14.0,35.0,6.0
0.946,-0.016,0.112,-68.787,18.921,38.391,5.0,10.0,15.0,33.0,6.0
0.948,0.139,-0.153,-83.130,37.231,46.204,4.0,10.0,15.0,36.0,6.0
1.036,0.344,-0.479,-75.500,24.048,39.734,4.0,11.0,15.0,34.0,5.0
0.891,0.454,-0.775,0.793,-31.372,-2.747,5.0,10.0,14.0,37.0,8.0
0.817,0.406,-0.722,108.398,-59.021,-53.833,4.0,10.0,14.0,35.0,4.0
0.891,0.017,-0.072,138.855,-46.753,-63.354,5.0,10.0,15.0,36.0,6.0
1.217,-0.510,1.219,4.883,-12.146,-3.296,4.0,10.0,14.0,33.0,5.0
1.200,-0.284,0.683,-51.941,-12.695,16.296,4.0,9.0,15.0,33.0,5.0
0.888,-0.096,0.160,-66.406,-30.640,13.916,4.0,10.0,14.0,33.0,6.0
0.776,-0.078,0.170,-92.041,2.197,30.273,5.0,11.0,15.0,33.0,5.0
0.750,0.010,0.178,-110.352,28.137,40.100,5.0,10.0,15.0,34.0,6.0
0.880,0.112,-0.006,-109.497,50.964,33.691,4.0,10.0,15.0,33.0,5.0
0.918,0.135,-0.164,-71.472,26.978,8.240,4.0,9.0,15.0,31.0,6.0
0.896,0.145,-0.189,-36.865,-7.202,-19.653,4.0,10.0,14.0,33.0,5.0
0.780,0.194,-0.197,-20.325,-22.095,-34.668,4.0,10.0,15.0,34.0,5.0
0.590,0.250,-0.199,-16.174,-17.273,-37.048,4.0,10.0,15.0,34.0,5.0
0.540,0.258,-0.164,-2.808,9.644,-44.678,5.0,10.0,15.0,33.0,5.0
0.656,0.182,-0.139,18.066,24.963,-62.012,4.0,10.0,15.0,33.0,5.0
0.749,0.146,-0.144,29.968,12.878,-82.520,4.0,10.0,14.0,34.0,4.0
0.930,0.109,-0.157,29.114,2.319,-86.853,5.0,10.0,14.0,35.0,4.0
1.002,0.087,-0.139,17.700,-12.207,-80.688,4.0,10.0,15.0,32.0,6.0
1.044,0.069,-0.065,12.207,-8.911,-70.679,5.0,10.0,14.0,34.0,6.0
1.045,0.047,-0.019,17.212,4.944,-57.983,4.0,10.0,16.0,33.0,6.0
1.055,-0.027,0.069,17.639,23.254,-44.922,4.0,10.0,14.0,31.0,6.0
1.113,-0.088,0.115,13.000,28.503,-39.185,4.0,10.0,14.0,33.0,4.0
1.150,-0.098,0.068,-3.662,26.978,-29.541,4.0,10.0,16.0,33.0,5.0
1.136,-0.065,0.014,-18.799,19.409,-23.743,5.0,10.0,15.0,34.0,6.0
1.115,0.005,-0.078,-19.226,17.517,-22.827,5.0,10.0,15.0,33.0,5.0
1.139,-0.011,-0.080,-5.737,14.099,-21.301,4.0,10.0,15.0,32.0,5.0
1.176,-0.098,-0.044,7.568,8.179,-17.578,4.0,10.0,15.0,33.0,4.0
1.178,-0.128,-0.042,0.732,2.502,-10.620,4.0,10.0,15.0,32.0,6.0
1.171,-0.145,-0.068,-13.672,2.380,-3.296,4.0,8.0,15.0,34.0,5.0
1.191,-0.139,-0.094,-18.250,2.686,0.854,5.0,10.0,15.0,33.0,5.0
1.241,-0.166,-0.123,-17.578,1.953,8.057,4.0,10.0,15.0,33.0,6.0
1.298,-0.191,-0.139,-8.057,-4.700,12.024,4.0,10.0,15.0,34.0,6.0
1.302,-0.198,-0.142,0.244,-13.733,20.874,4.0,10.0,14.0,33.0,5.0
1.263,-0.197,-0.140,1.770,-15.137,28.259,5.0,9.0,14.0,34.0,5.0
1.221,-0.197,-0.099,1.892,-10.864,43.884,4.0,10.0,14.0,32.0,3.0
1.210,-0.202,-0.077,-0.244,-6.470,53.589,5.0,10.0,14.0,33.0,5.0
1.187,-0.198,-0.051,-0.854,-8.240,57.617,4.0,9.0,14.0,32.0,5.0
1.143,-0.201,-0.045,-0.305,-10.498,59.387,4.0,9.0,15.0,33.0,6.0
1.102,-0.213,-0.060,-0.732,-14.221,62.866,4.0,10.0,12.0,33.0,3.0
1.046,-0.189,-0.057,-5.432,-14.709,66.650,4.0,10.0,15.0,34.0,4.0
1.021,-0.172,-0.044,-6.958,-12.451,68.787,4.0,9.0,14.0,32.0,6.0
0.991,-0.148,-0.008,-6.287,-12.085,67.749,4.0,10.0,15.0,32.0,5.0
0.968,-0.125,0.029,-6.775,-12.878,65.613,4.0,10.0,14.0,34.0,5.0
0.946,-0.089,0.065,-6.348,-14.709,57.434,4.0,8.0,15.0,35.0,5.0
0.940,-0.076,0.074,-3.906,-18.066,49.072,4.0,9.0,15.0,32.0,5.0
0.906,-0.055,0.060,-4.150,-19.104,44.678,4.0,9.0,14.0,33.0,5.0
0.870,-0.024,0.028,-5.676,-16.113,44.006,5.0,9.0,14.0,34.0,6.0
0.872,0.015,0.028,-8.301,-6.592,41.687,4.0,9.0,15.0,34.0,7.0
0.863,0.042,0.012,-6.104,-0.183,36.438,5.0,10.0,14.0,32.0,5.0
0.859,0.079,-0.012,-0.854,6.226,30.762,4.0,10.0,15.0,33.0,5.0
0.880,0.089,0.009,0.854,6.714,27.344,5.0,9.0,14.0,34.0,5.0
0.883,0.107,0.023,1.160,0.122,20.142,4.0,10.0,14.0,34.0,5.0
0.872,0.121,0.025,0.122,-10.681,12.939,4.0,10.0,14.0,35.0,5.0
0.826,0.155,0.028,-0.305,-15.137,9.827,4.0,9.0,15.0,32.0,3.0
0.790,0.166,0.034,-0.549,-19.897,4.456,4.0,10.0,14.0,33.0,4.0
0.777,0.170,0.028,-2.625,-18.127,-0.366,5.0,10.0,14.0,34.0,5.0
0.758,0.193,0.008,-4.639,-7.812,-4.150,4.0,10.0,14.0,34.0,5.0
0.784,0.208,0.008,-2.747,3.174,-7.507,4.0,9.0,14.0,33.0,5.0
0.819,0.201,0.015,-0.793,6.165,-9.827,4.0,10.0,15.0,32.0,5.0
0.858,0.197,0.029,2.991,6.897,-15.076,4.0,9.0,14.0,33.0,4.0
0.877,0.194,0.038,5.554,1.709,-14.526,4.0,10.0,14.0,35.0,4.0
0.876,0.171,0.066,5.554,-3.662,-12.024,4.0,10.0,14.0,32.0,4.0
0.846,0.166,0.081,5.615,-3.723,-12.451,4.0,10.0,14.0,32.0,5.0
0.831,0.175,0.039,10.681,3.845,-12.817,5.0,10.0,13.0,34.0,5.0
0.830,0.173,0.023,20.081,20.264,-8.972,4.0,10.0,15.0,34.0,4.0

1.093,-0.650,1.381,33.569,-50.598,-12.329,4.0,10.0,14.0,34.0,4.0
0.871,-0.178,0.475,-83.496,4.700,29.602,5.0,10.0,14.0,32.0,5.0
0.805,-0.052,0.125,-87.646,41.565,44.434,5.0,10.0,14.0,35.0,4.0
0.830,-0.024,-0.135,-103.638,76.782,56.702,4.0,10.0,14.0,31.0,5.0
1.191,0.173,-0.346,-102.783,68.604,49.805,4.0,9.0,14.0,35.0,4.0
1.110,0.418,-0.844,-39.307,-27.771,10.132,4.0,9.0,13.0,34.0,4.0
0.623,0.429,-1.020,82.397,-109.314,-45.044,4.0,9.0,14.0,32.0,4.0
0.553,0.289,-0.758,177.063,-87.280,-87.952,5.0,9.0,14.0,32.0,3.0
0.998,-0.216,0.362,128.479,-37.537,-62.256,4.0,10.0,14.0,31.0,3.0
1.197,-0.590,1.298,37.476,-19.409,-20.325,4.0,10.0,13.0,32.0,2.0
1.007,-0.264,0.551,-90.637,9.888,26.855,5.0,10.0,14.0,31.0,3.0
0.969,-0.174,0.324,-96.008,5.920,18.921,4.0,10.0,13.0,32.0,3.0
0.755,-0.105,0.186,-117.493,6.775,24.048,4.0,9.0,14.0,32.0,3.0
