aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.176,0.266,-1.030,31.799,-22.583,-10.681,0.0,0.0,0.0,0.0,0.0
0.146,0.241,-1.035,28.198,-21.667,-9.949,0.0,0.0,0.0,1.0,0.0

1.331,0.742,-0.703,-25.635,-5.615,-149.963,0.0,0.0,0.0,1.0,0.0
1.900,0.679,-0.771,-19.226,37.476,-50.110,0.0,0.0,0.0,0.0,0.0
1.746,0.667,-0.848,-31.189,43.457,79.224,0.0,0.0,1.0,0.0,0.0
1.072,0.711,-0.854,-0.793,81.055,131.592,0.0,0.0,1.0,0.0,0.0
0.609,0.644,-0.559,26.489,89.294,128.967,0.0,0.0,1.0,1.0,0.0
0.074,0.511,-0.334,57.434,43.152,93.323,0.0,0.0,0.0,0.0,0.0
-0.174,0.516,-0.288,41.260,-25.635,38.879,0.0,0.0,1.0,0.0,0.0
-0.178,0.622,-0.221,11.047,-59.143,-22.766,0.0,0.0,0.0,0.0,0.0
0.172,0.794,-0.289,0.427,-64.758,-49.194,0.0,0.0,1.0,0.0,0.0
0.507,0.847,-0.356,-3.174,-45.654,-66.040,0.0,0.0,1.0,0.0,0.0
0.685,0.802,-0.349,-8.240,-6.897,-32.227,0.0,0.0,1.0,0.0,0.0
0.838,0.706,-0.357,-19.958,16.174,9.583,0.0,0.0,0.0,0.0,0.0
0.651,0.660,-0.355,-21.118,24.780,22.400,0.0,0.0,0.0,1.0,0.0
0.489,0.602,-0.243,-16.785,34.241,26.855,0.0,0.0,1.0,0.0,0.0
0.424,0.576,-0.215,-25.269,25.452,14.282,0.0,0.0,1.0,0.0,0.0
0.385,0.601,-0.301,-35.950,18.860,8.118,0.0,0.0,1.0,0.0,0.0
0.476,0.696,-0.460,-46.021,4.700,-3.784,0.0,0.0,1.0,1.0,0.0
0.452,0.743,-0.566,-35.950,-12.512,-12.085,0.0,0.0,1.0,0.0,0.0
0.379,0.751,-0.564,-27.771,-13.184,-11.292,0.0,0.0,0.0,0.0,0.0
0.372,0.703,-0.383,-29.236,6.409,-8.179,0.0,0.0,1.0,0.0,0.0
0.491,0.657,-0.117,-34.851,12.207,-7.629,0.0,0.0,1.0,0.0,0.0
0.548,0.620,0.056,-45.532,13.123,-6.714,0.0,0.0,1.0,0.0,0.0
0.534,0.562,0.048,-58.655,16.846,-7.263,0.0,0.0,0.0,0.0,0.0
0.480,0.449,-0.180,-90.637,40.466,-2.991,0.0,0.0,1.0,0.0,0.0
0.449,0.482,-0.558,-108.459,61.218,2.075,0.0,0.0,1.0,0.0,0.0
0.605,0.596,-0.701,-118.896,106.201,11.353,0.0,0.0,1.0,0.0,0.0
0.712,0.607,-0.674,-93.872,106.873,14.282,0.0,0.0,0.0,0.0,0.0
0.733,0.540,-0.631,-67.139,62.927,12.817,0.0,0.0,1.0,0.0,0.0
