aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.580,0.200,0.832,-9.216,-4.211,4.395,0.0,0.0,0.0,0.0,0.0
0.590,0.210,0.836,-9.155,-4.089,2.747,0.0,0.0,1.0,0.0,0.0

0.747,-0.137,1.238,23.804,-17.517,8.118,0.0,0.0,1.0,0.0,0.0
0.300,0.123,0.922,-30.151,24.353,33.691,0.0,0.0,1.0,0.0,0.0
0.381,0.169,0.874,-0.183,86.487,10.925,0.0,0.0,0.0,0.0,0.0
0.683,0.054,0.870,9.827,88.562,15.137,0.0,0.0,0.0,0.0,0.0
0.671,0.012,0.832,-13.489,52.246,33.997,0.0,0.0,0.0,0.0,0.0
0.594,0.069,0.804,-46.631,8.118,32.104,0.0,0.0,0.0,0.0,0.0
0.448,0.244,0.724,-43.030,-21.423,11.597,0.0,0.0,0.0,0.0,0.0
0.343,0.342,0.663,-26.733,-29.724,-2.625,0.0,0.0,1.0,0.0,0.0
0.277,0.318,0.649,20.874,-31.677,-37.354,0.0,0.0,1.0,0.0,0.0
0.305,0.262,0.677,65.857,-24.475,-70.068,0.0,0.0,0.0,0.0,0.0
0.631,-0.073,0.889,71.228,-23.193,-70.313,0.0,0.0,0.0,0.0,0.0
0.759,-0.102,1.215,15.076,-23.682,2.380,0.0,0.0,1.0,0.0,0.0
0.497,0.014,1.087,-38.269,-3.906,29.907,0.0,0.0,1.0,0.0,0.0
0.375,0.172,0.915,-13.733,38.025,3.967,0.0,0.0,1.0,0.0,0.0
0.542,0.092,0.924,-4.578,35.034,4.944,0.0,0.0,1.0,0.0,0.0
0.356,0.077,0.878,-12.024,5.798,8.545,0.0,0.0,0.0,0.0,0.0
0.274,0.118,0.870,-25.391,-11.536,-3.357,0.0,0.0,1.0,0.0,0.0
0.193,0.206,0.837,-27.405,-11.169,-5.249,0.0,0.0,0.0,0.0,0.0
0.296,0.154,0.873,-26.978,17.578,9.460,0.0,0.0,1.0,0.0,0.0
0.502,0.103,0.970,-31.433,46.387,13.672,0.0,0.0,1.0,0.0,0.0
0.578,0.101,0.991,-36.865,38.635,-1.892,0.0,0.0,0.0,0.0,0.0
0.630,0.113,0.950,-37.903,24.963,-10.315,0.0,0.0,0.0,0.0,0.0
0.609,0.135,0.874,-36.804,-2.808,-21.484,0.0,0.0,1.0,0.0,0.0
0.581,0.145,0.839,-36.072,-16.296,-22.583,0.0,0.0,1.0,0.0,0.0
0.504,0.175,0.768,-29.297,-15.076,-25.452,0.0,0.0,0.0,0.0,0.0
0.512,0.175,0.751,-24.353,-9.644,-27.344,0.0,0.0,1.0,0.0,0.0
0.542,0.188,0.754,-21.423,-3.052,-26.184,0.0,0.0,1.0,0.0,0.0
0.528,0.197,0.750,-20.447,1.282,-16.724,0.0,0.0,0.0,0.0,0.0
0.516,0.197,0.755,-19.165,6.104,-12.512,0.0,0.0,1.0,0.0,0.0
0.542,0.199,0.775,-16.846,13.367,-9.094,0.0,0.0,0.0,0.0,0.0
0.547,0.205,0.781,-12.939,11.536,-9.766,0.0,0.0,1.0,0.0,0.0
0.540,0.213,0.794,-9.399,10.742,-9.094,0.0,0.0,0.0,0.0,0.0
0.531,0.211,0.802,-8.789,12.024,-7.080,0.0,0.0,0.0,0.0,0.0
0.539,0.195,0.813,-9.521,15.015,-2.808,0.0,0.0,0.0,0.0,0.0
0.552,0.192,0.817,-13.428,12.329,-0.671,0.0,0.0,0.0,0.0,0.0
0.543,0.200,0.807,-15.686,9.155,0.305,0.0,0.0,0.0,0.0,0.0
0.502,0.220,0.782,-16.724,6.287,1.282,0.0,0.0,0.0,0.0,0.0
0.491,0.222,0.771,-12.024,14.526,1.343,0.0,0.0,0.0,0.0,0.0
0.527,0.214,0.776,-9.094,20.264,0.122,0.0,0.0,0.0,0.0,0.0
0.590,0.204,0.796,-4.456,23.743,-3.723,0.0,0.0,0.0,0.0,0.0
0.621,0.172,0.796,-4.089,13.855,-6.287,0.0,0.0,0.0,0.0,0.0
0.611,0.166,0.783,-10.010,2.319,-9.949,0.0,0.0,1.0,0.0,0.0
0.594,0.183,0.755,-14.404,1.892,-11.597,0.0,0.0,1.0,0.0,0.0
0.627,0.191,0.761,-15.198,3.784,-10.315,0.0,0.0,1.0,0.0,0.0
0.630,0.195,0.785,-15.320,2.991,-8.301,0.0,0.0,1.0,0.0,0.0
0.611,0.195,0.796,-15.137,-4.211,-10.986,0.0,0.0,1.0,0.0,0.0
0.564,0.192,0.801,-16.113,-8.301,-13.306,0.0,0.0,1.0,0.0,0.0
0.525,0.206,0.796,-19.104,-14.038,-18.433,0.0,0.0,0.0,0.0,0.0
0.475,0.233,0.778,-20.203,-19.165,-23.743,0.0,0.0,0.0,0.0,0.0
0.453,0.236,0.760,-16.846,-17.761,-27.161,0.0,0.0,0.0,0.0,0.0
0.447,0.215,0.731,-15.564,-12.512,-27.222,0.0,0.0,1.0,0.0,0.0
0.483,0.224,0.707,-17.334,5.249,-22.827,0.0,0.0,0.0,0.0,0.0
0.597,0.249,0.700,-16.846,28.687,-16.907,0.0,0.0,0.0,0.0,0.0
0.697,0.232,0.731,-11.475,34.058,-14.587,0.0,0.0,1.0,0.0,0.0
0.768,0.193,0.768,-11.597,22.949,-16.052,0.0,0.0,0.0,0.0,0.0
0.706,0.228,0.715,-13.794,0.427,-20.813,0.0,0.0,1.0,0.0,0.0
0.702,0.243,0.683,-8.728,3.845,-13.062,0.0,0.0,1.0,0.0,0.0
0.742,0.225,0.664,-5.676,10.193,-8.118,0.0,0.0,0.0,0.0,0.0
0.762,0.227,0.654,-1.648,12.634,-5.981,0.0,0.0,1.0,0.0,0.0
0.771,0.228,0.647,0.610,9.033,-1.831,0.0,0.0,0.0,0.0,0.0
0.781,0.220,0.664,2.930,5.371,1.465,0.0,0.0,1.0,0.0,0.0
0.756,0.211,0.728,2.930,-0.122,0.183,0.0,0.0,0.0,0.0,0.0
0.654,0.220,0.761,1.892,-14.526,-3.540,0.0,0.0,1.0,0.0,0.0
0.605,0.214,0.776,1.465,-17.761,-3.723,0.0,0.0,0.0,0.0,0.0
0.562,0.200,0.810,-1.465,-14.893,-1.770,0.0,0.0,0.0,0.0,0.0
0.510,0.209,0.808,-2.686,-12.268,-0.061,0.0,0.0,1.0,0.0,0.0
0.517,0.207,0.794,-2.258,-1.831,1.953,0.0,0.0,1.0,0.0,0.0
0.546,0.208,0.786,-2.197,6.531,1.953,0.0,0.0,0.0,0.0,0.0
0.597,0.217,0.765,-2.319,7.202,2.075,0.0,0.0,0.0,0.0,0.0
0.607,0.227,0.745,-1.892,5.676,1.709,0.0,0.0,0.0,0.0,0.0

0.917,-0.275,1.417,64.026,-37.903,-34.119,0.0,0.0,2.0,0.0,0.0
0.330,0.128,1.022,-48.889,-8.484,46.204,0.0,0.0,0.0,0.0,0.0
0.214,0.258,0.849,-21.240,74.280,5.615,0.0,0.0,1.0,0.0,0.0
0.672,0.147,0.894,12.817,91.614,11.047,0.0,0.0,1.0,0.0,0.0
0.721,0.028,0.810,-17.700,50.964,43.213,0.0,0.0,1.0,0.0,0.0
0.581,0.134,0.744,-36.804,30.762,45.532,0.0,0.0,0.0,1.0,0.0
