aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.589,0.673,-0.448,-0.366,-0.732,-1.465,0.0,22.0,19.0,31.0,0.0
0.592,0.668,-0.443,0.549,-0.610,-2.136,0.0,22.0,19.0,32.0,0.0
0.600,0.668,-0.438,0.122,-0.793,-1.282,0.0,22.0,17.0,32.0,0.0

0.447,0.739,-0.954,-18.188,30.518,4.089,0.0,23.0,19.0,33.0,0.0
0.492,0.709,-0.950,15.991,16.968,-7.690,1.0,23.0,19.0,33.0,0.0
0.538,0.680,-0.846,43.457,-7.324,-11.597,0.0,24.0,19.0,33.0,0.0
0.639,0.658,-0.528,49.072,-32.227,-6.775,0.0,27.0,20.0,31.0,0.0
0.711,0.649,-0.100,44.128,-40.833,-2.075,1.0,29.0,21.0,32.0,0.0
0.702,0.648,0.115,17.273,-37.354,9.094,0.0,28.0,22.0,34.0,0.0
0.629,0.782,0.187,-7.935,-9.338,9.705,0.0,26.0,21.0,31.0,0.0
0.614,0.761,-0.090,-9.338,1.953,5.188,0.0,26.0,19.0,31.0,0.0
0.568,0.616,-0.292,-19.348,5.737,5.432,0.0,23.0,20.0,31.0,0.0
0.497,0.609,-0.435,-37.292,3.296,12.207,0.0,24.0,20.0,31.0,0.0
0.428,0.647,-0.699,-38.879,5.432,11.475,1.0,23.0,19.0,32.0,0.0
0.468,0.700,-0.797,-27.100,7.019,6.104,0.0,24.0,19.0,33.0,0.0
0.486,0.710,-0.782,-5.737,-1.038,1.526,0.0,24.0,19.0,32.0,0.0
0.501,0.708,-0.672,8.057,-9.460,-0.427,0.0,25.0,19.0,32.0,0.0
0.524,0.712,-0.527,11.414,-11.475,-0.732,0.0,23.0,20.0,31.0,0.0
0.543,0.701,-0.411,13.489,-13.794,-1.953,0.0,23.0,18.0,31.0,0.0
0.544,0.699,-0.371,11.108,-12.695,-4.761,0.0,23.0,19.0,31.0,0.0
0.558,0.685,-0.312,6.165,-5.920,-6.287,0.0,24.0,19.0,32.0,0.0
0.579,0.674,-0.309,2.686,-1.770,-5.981,0.0,23.0,19.0,31.0,0.0
0.595,0.663,-0.352,-3.784,4.028,-3.174,0.0,24.0,18.0,32.0,0.0
