aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.947,-0.002,-0.290,-10.620,-19.958,10.437,0.0,0.0,2.0,26.0,0.0
0.860,0.033,-0.301,-9.766,-28.198,10.681,0.0,0.0,1.0,28.0,1.0
0.816,0.071,-0.299,-7.568,-23.437,6.775,0.0,0.0,1.0,26.0,2.0
0.846,0.094,-0.265,-1.221,-3.479,-3.662,0.0,0.0,1.0,25.0,0.0

1.485,-0.297,-0.799,-18.616,35.278,-80.139,0.0,0.0,1.0,24.0,26.0
1.678,-0.366,-0.850,0.366,28.137,-52.734,0.0,0.0,1.0,23.0,24.0
1.692,-0.359,-0.839,14.465,12.451,-10.559,0.0,0.0,1.0,23.0,25.0
1.505,-0.265,-0.706,26.062,-6.653,33.630,0.0,0.0,1.0,23.0,25.0
1.095,-0.090,-0.478,31.494,-14.893,49.133,0.0,0.0,1.0,23.0,24.0
0.715,0.037,-0.242,37.476,-28.076,61.829,0.0,0.0,1.0,23.0,23.0
0.540,0.080,-0.157,28.809,-39.307,50.171,0.0,0.0,1.0,22.0,24.0
0.275,0.119,-0.069,6.409,-38.330,16.357,0.0,0.0,0.0,24.0,24.0
0.265,0.167,-0.065,-6.714,-33.936,-4.639,0.0,0.0,1.0,22.0,25.0
0.514,0.111,-0.177,-26.245,-25.818,-42.419,0.0,0.0,1.0,22.0,23.0
0.685,0.030,-0.300,-35.706,-14.771,-68.481,0.0,0.0,1.0,23.0,22.0
1.093,-0.029,-0.506,-35.583,-3.723,-71.960,0.0,0.0,1.0,22.0,25.0
1.406,-0.078,-0.521,-21.729,11.780,-46.753,0.0,0.0,1.0,22.0,22.0
1.405,-0.161,-0.479,-10.864,1.892,-3.601,0.0,0.0,1.0,23.0,24.0
1.317,-0.170,-0.480,-12.939,-13.306,21.912,0.0,0.0,0.0,23.0,24.0
1.117,-0.123,-0.484,-14.282,-14.221,28.992,0.0,0.0,1.0,22.0,24.0
0.966,-0.096,-0.453,-12.573,-4.883,37.537,0.0,0.0,1.0,22.0,24.0
0.904,-0.086,-0.436,-8.789,5.859,37.476,0.0,0.0,1.0,22.0,25.0
0.817,-0.084,-0.412,-5.432,13.000,32.166,0.0,0.0,1.0,23.0,25.0
0.804,-0.079,-0.368,-5.737,13.977,29.846,0.0,0.0,1.0,23.0,23.0
0.793,-0.058,-0.346,-9.277,8.789,27.344,0.0,0.0,1.0,22.0,25.0
0.776,-0.042,-0.354,-13.367,-1.282,23.376,0.0,0.0,1.0,22.0,23.0
0.733,-0.002,-0.379,-12.878,-6.775,15.503,0.0,0.0,1.0,22.0,23.0
0.725,-0.006,-0.390,-11.292,-6.042,10.193,0.0,0.0,0.0,23.0,24.0
0.783,-0.061,-0.402,-10.498,0.183,-0.305,0.0,0.0,0.0,25.0,23.0
0.819,-0.078,-0.413,-15.930,5.188,-5.432,0.0,0.0,1.0,22.0,24.0
0.859,-0.068,-0.444,-18.494,6.104,-5.798,0.0,0.0,1.0,23.0,25.0
0.888,-0.097,-0.486,-18.677,7.385,-6.409,0.0,0.0,1.0,22.0,23.0
0.941,-0.114,-0.500,-16.174,9.521,-7.446,0.0,0.0,1.0,22.0,24.0
0.971,-0.113,-0.489,-11.536,4.883,-6.287,0.0,0.0,0.0,23.0,23.0
0.984,-0.105,-0.452,-8.911,-1.160,-4.395,0.0,0.0,0.0,24.0,24.0
0.910,-0.085,-0.422,-5.493,-13.184,0.305,0.0,0.0,0.0,22.0,24.0
0.869,-0.079,-0.405,-5.310,-13.062,4.822,0.0,0.0,1.0,22.0,23.0
0.837,-0.095,-0.391,-8.118,-2.319,4.517,0.0,0.0,1.0,21.0,24.0
0.872,-0.095,-0.379,-9.155,5.493,-0.610,0.0,0.0,1.0,23.0,24.0
0.891,-0.088,-0.355,-9.583,5.554,-2.197,0.0,0.0,1.0,23.0,24.0
0.901,-0.115,-0.330,-11.780,0.671,-2.075,0.0,0.0,0.0,23.0,23.0
0.901,-0.139,-0.333,-15.198,-8.972,-2.258,0.0,0.0,0.0,22.0,24.0
0.882,-0.192,-0.367,-16.418,-13.489,-3.418,0.0,0.0,1.0,23.0,22.0
0.853,-0.243,-0.407,-16.296,-14.648,-6.592,0.0,0.0,1.0,24.0,24.0
0.880,-0.310,-0.449,-15.320,-3.967,-8.911,0.0,0.0,1.0,21.0,23.0
0.906,-0.329,-0.468,-12.695,9.583,-9.399,0.0,0.0,1.0,22.0,23.0
0.980,-0.377,-0.497,-5.188,17.273,-4.639,0.0,0.0,1.0,23.0,22.0
1.060,-0.413,-0.494,-0.732,15.747,-0.305,0.0,0.0,1.0,22.0,21.0
1.018,-0.399,-0.479,5.676,2.014,8.057,0.0,0.0,1.0,23.0,23.0
0.960,-0.381,-0.472,12.695,-9.399,12.024,0.0,0.0,1.0,23.0,23.0
0.861,-0.339,-0.441,16.357,-9.888,11.169,0.0,0.0,1.0,22.0,25.0
0.823,-0.287,-0.391,21.545,-3.418,6.287,0.0,0.0,1.0,21.0,25.0
0.821,-0.260,-0.369,22.949,1.892,1.587,0.0,0.0,0.0,24.0,24.0
0.824,-0.226,-0.340,21.729,1.160,-1.892,0.0,0.0,1.0,22.0,25.0
