aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.020,-0.251,-1.240,-42.969,52.917,8.118,0.0,0.0,1.0,4.0,0.0
-0.083,-0.161,-1.299,-38.391,38.391,10.010,0.0,0.0,2.0,4.0,0.0

0.675,-0.022,1.578,55.725,-72.937,-13.428,0.0,0.0,2.0,2.0,0.0
0.639,-0.039,1.595,14.648,-13.672,8.423,0.0,0.0,2.0,3.0,0.0
0.579,-0.015,1.478,-34.302,41.565,25.696,0.0,0.0,1.0,4.0,0.0
0.448,0.104,1.097,-78.369,84.412,39.978,0.0,0.0,2.0,5.0,0.0
0.404,0.295,0.746,-88.501,95.093,43.396,0.0,0.0,2.0,3.0,0.0
0.442,0.406,0.538,-75.623,88.379,37.598,0.0,1.0,2.0,3.0,0.0
0.458,0.408,0.465,-44.739,47.791,24.353,0.0,0.0,1.0,4.0,0.0
0.438,0.419,0.359,-30.518,19.287,17.151,0.0,0.0,2.0,4.0,0.0
0.322,0.440,0.324,1.648,-35.034,-0.488,0.0,0.0,2.0,3.0,0.0
0.179,0.412,0.371,36.804,-64.880,-19.470,0.0,0.0,2.0,3.0,0.0
0.150,0.375,0.446,63.843,-58.472,-31.250,0.0,0.0,2.0,3.0,0.0
0.277,0.247,0.721,71.655,-46.692,-34.546,0.0,0.0,2.0,3.0,0.0
0.557,0.107,1.082,73.425,-31.311,-38.818,0.0,0.0,2.0,4.0,0.0
0.635,0.059,1.224,50.415,-33.020,-30.701,0.0,1.0,2.0,3.0,0.0
0.555,0.017,1.344,4.883,-14.832,-7.568,0.0,1.0,2.0,4.0,0.0
0.334,0.070,1.264,-20.630,12.024,3.540,0.0,0.0,2.0,4.0,0.0
0.184,0.216,1.051,-60.486,98.694,16.235,0.0,0.0,1.0,3.0,0.0
0.165,0.285,0.912,-67.932,209.656,7.690,0.0,0.0,2.0,3.0,0.0
0.273,0.316,0.621,-59.509,264.954,-4.333,0.0,0.0,2.0,4.0,0.0
0.592,0.251,0.445,-39.063,350.464,-29.053,0.0,0.0,1.0,4.0,0.0
0.772,0.233,0.416,-28.870,371.094,-43.701,0.0,1.0,2.0,3.0,0.0
1.018,0.233,0.407,-26.794,325.561,-45.166,0.0,1.0,2.0,4.0,0.0
1.093,0.235,0.387,-28.198,288.391,-40.894,0.0,0.0,2.0,3.0,0.0
1.062,0.237,0.356,-32.715,211.365,-28.503,0.0,0.0,2.0,3.0,0.0
0.942,0.246,0.292,-33.630,160.767,-16.174,0.0,0.0,1.0,4.0,0.0
0.882,0.234,0.247,-33.386,147.644,-11.230,0.0,0.0,1.0,3.0,0.0
0.815,0.209,0.161,-35.645,139.160,-6.897,0.0,0.0,2.0,4.0,0.0
0.785,0.212,0.115,-40.405,154.114,-10.559,0.0,0.0,2.0,4.0,0.0
0.782,0.234,0.029,-40.894,167.725,-15.015,0.0,0.0,2.0,3.0,0.0
0.832,0.249,-0.046,-35.217,197.021,-27.222,0.0,0.0,2.0,3.0,0.0
0.867,0.255,-0.077,-25.208,218.506,-39.490,0.0,0.0,1.0,4.0,0.0
0.940,0.252,-0.145,-13.428,225.403,-46.570,0.0,0.0,2.0,3.0,0.0
0.990,0.219,-0.186,-8.301,223.999,-46.936,0.0,0.0,2.0,4.0,0.0
1.045,0.180,-0.204,-4.272,211.121,-40.833,0.0,0.0,2.0,3.0,0.0
1.055,0.165,-0.221,-8.423,186.645,-31.067,0.0,0.0,1.0,3.0,0.0
1.046,0.139,-0.268,-16.052,154.480,-22.156,0.0,1.0,2.0,3.0,0.0
0.994,0.146,-0.332,-20.386,137.573,-17.212,0.0,0.0,2.0,2.0,0.0
0.928,0.159,-0.399,-23.071,112.000,-5.859,0.0,0.0,2.0,4.0,0.0
0.911,0.150,-0.418,-19.165,100.159,3.052,0.0,0.0,1.0,4.0,0.0
0.868,0.132,-0.462,-18.372,96.558,5.005,0.0,1.0,1.0,4.0,0.0
0.813,0.130,-0.505,-19.348,93.750,3.540,0.0,0.0,1.0,5.0,0.0
0.794,0.130,-0.523,-20.813,97.961,-1.465,0.0,0.0,2.0,4.0,0.0
0.758,0.151,-0.555,-20.569,108.887,-8.606,0.0,0.0,2.0,4.0,0.0
0.761,0.170,-0.569,-18.799,115.845,-11.841,0.0,0.0,2.0,4.0,0.0
0.786,0.149,-0.575,-13.672,123.413,-15.686,0.0,0.0,2.0,3.0,0.0
0.767,0.136,-0.589,-11.780,120.422,-19.287,0.0,0.0,2.0,3.0,0.0
0.674,0.125,-0.639,-11.475,120.789,-22.034,0.0,0.0,2.0,2.0,0.0
0.630,0.110,-0.670,-9.460,131.714,-26.123,0.0,0.0,2.0,3.0,0.0
0.639,0.098,-0.677,-10.132,144.653,-22.827,0.0,1.0,2.0,4.0,0.0
0.680,0.072,-0.687,-16.235,142.944,-14.893,0.0,1.0,2.0,3.0,0.0
0.659,0.084,-0.718,-20.630,136.414,-11.475,0.0,0.0,2.0,4.0,0.0
0.597,0.111,-0.762,-25.574,124.084,-3.235,0.0,0.0,1.0,4.0,0.0
0.586,0.100,-0.781,-22.156,117.920,8.362,0.0,1.0,2.0,3.0,0.0
0.537,0.027,-0.821,-23.193,113.647,11.719,0.0,1.0,2.0,3.0,0.0
0.474,-0.017,-0.868,-28.748,112.610,10.559,0.0,0.0,1.0,3.0,0.0
0.401,0.021,-0.908,-42.847,117.065,6.104,0.0,0.0,1.0,4.0,0.0
0.393,0.043,-0.917,-48.279,129.395,-0.610,0.0,0.0,2.0,4.0,0.0
0.372,0.074,-0.924,-48.035,135.254,-6.042,0.0,0.0,2.0,3.0,0.0
0.357,0.087,-0.897,-44.128,143.616,-21.118,0.0,0.0,2.0,3.0,0.0
0.349,0.081,-0.845,-39.063,141.541,-38.574,0.0,0.0,2.0,3.0,0.0
0.325,0.080,-0.824,-37.720,132.446,-49.744,0.0,0.0,2.0,4.0,0.0
0.303,0.047,-0.770,-40.649,126.709,-49.255,0.0,0.0,2.0,3.0,0.0
0.276,-0.020,-0.726,-46.448,123.718,-46.509,0.0,1.0,1.0,3.0,0.0
0.235,-0.083,-0.736,-65.979,117.371,-37.231,0.0,0.0,2.0,4.0,0.0
0.213,-0.114,-0.776,-88.318,111.694,-21.851,0.0,0.0,2.0,3.0,0.0
0.196,-0.169,-0.900,-104.248,102.295,-6.348,0.0,0.0,2.0,4.0,0.0
0.182,-0.228,-1.066,-106.750,92.407,1.038,0.0,0.0,1.0,2.0,0.0
0.132,-0.275,-1.237,-99.365,62.012,11.230,0.0,0.0,2.0,3.0,0.0
0.082,-0.294,-1.304,-78.918,27.527,10.437,0.0,0.0,2.0,4.0,0.0
-0.012,-0.334,-1.386,-51.575,4.089,6.348,0.0,0.0,1.0,4.0,0.0

1.023,-0.123,1.202,16.663,-13.123,-1.221,0.0,1.0,2.0,3.0,0.0
0.917,0.116,1.129,-41.321,17.212,39.063,0.0,0.0,1.0,4.0,0.0
0.787,0.232,1.019,-65.430,45.898,55.115,0.0,0.0,1.0,4.0,0.0
0.576,0.390,0.803,-58.594,69.275,49.438,0.0,0.0,3.0,3.0,0.0
0.475,0.412,0.643,-50.781,74.951,44.678,0.0,0.0,2.0,3.0,0.0
0.485,0.406,0.523,-39.001,66.040,35.889,0.0,0.0,2.0,3.0,0.0
0.503,0.432,0.479,-22.278,27.527,19.531,0.0,0.0,1.0,3.0,0.0
0.490,0.490,0.433,-6.653,2.197,7.141,0.0,0.0,1.0,4.0,0.0
0.441,0.477,0.433,36.255,-46.265,-26.367,0.0,1.0,1.0,4.0,0.0
0.416,0.435,0.460,76.599,-76.172,-52.612,0.0,0.0,1.0,3.0,0.0
0.383,0.263,0.558,90.698,-68.542,-46.448,0.0,1.0,2.0,4.0,0.0
0.484,0.080,0.750,85.815,-53.467,-38.147,0.0,0.0,2.0,2.0,0.0
0.702,0.032,0.987,60.181,-21.912,-25.452,0.0,1.0,2.0,3.0,0.0
