aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
524,10,-176,59.570,18.188,60.242,6.0,17.0,17.0,36.0,8.0
361,-34,93,29.480,-488,16.968,6.0,16.0,17.0,36.0,8.0
401,-33,168,5.371,-17.090,-10.498,5.0,16.0,17.0,35.0,8.0
577,25,66,-33.875,-43.518,-58.716,5.0,15.0,18.0,35.0,7.0
740,17,9,-47.302,-40.710,-72.876,5.0,16.0,17.0,38.0,7.0
1.066,-58,-179,-52.002,-12.573,-49.438,5.0,16.0,17.0,35.0,7.0
1.327,-52,-381,-49.683,6.165,-32.776,6.0,16.0,17.0,35.0,8.0
1.374,9,-444,-24.536,34.119,1.587,6.0,17.0,17.0,35.0,8.0
1.343,14,-402,12.817,42.358,23.987,5.0,16.0,18.0,35.0,8.0
1.248,-23,-247,26.978,31.372,33.264,5.0,16.0,17.0,35.0,7.0
1.150,-71,-91,23.499,21.240,32.654,5.0,16.0,17.0,36.0,8.0
1.075,-86,-10,1.953,-4.333,24.658,5.0,15.0,18.0,35.0,7.0
1.005,-60,-30,-25.757,-22.644,18.616,5.0,16.0,17.0,36.0,7.0
865,24,-141,-37.231,-17.578,17.761,6.0,16.0,18.0,36.0,7.0
832,55,-254,-34.546,-10.498,16.724,6.0,16.0,19.0,35.0,7.0
872,36,-310,-20.996,1.709,12.512,5.0,16.0,18.0,35.0,6.0
907,17,-306,-12.268,4.639,8.850,5.0,16.0,17.0,37.0,7.0
959,-21,-263,-12.451,305,6.348,6.0,15.0,18.0,36.0,8.0
958,-39,-215,-18.677,-14.038,-916,5.0,16.0,18.0,35.0,8.0
955,-42,-195,-26.611,-22.888,-6.531,5.0,17.0,17.0,37.0,7.0
945,-36,-200,-31.860,-19.531,-3.662,6.0,16.0,18.0,34.0,8.0
939,-21,-231,-31.555,-14.038,-916,5.0,15.0,17.0,36.0,8.0
940,-17,-269,-28.076,-3.479,4.333,6.0,16.0,18.0,36.0,8.0
939,-11,-278,-23.132,610,5.188,5.0,16.0,17.0,36.0,7.0
935,-22,-268,-20.081,-2.380,2.625,5.0,16.0,18.0,36.0,8.0
950,-48,-234,-23.254,-5.737,244,6.0,17.0,18.0,36.0,7.0
934,-46,-214,-26.184,-7.568,-183,6.0,16.0,17.0,36.0,7.0
895,-29,-212,-29.968,-5.615,732,6.0,16.0,18.0,35.0,6.0
901,-35,-209,-32.227,-244,4.089,5.0,16.0,17.0,38.0,8.0
948,-62,-227,-34.119,-1.221,4.883,5.0,16.0,18.0,37.0,7.0
950,-54,-285,-36.682,-10.742,916,5.0,17.0,18.0,38.0,7.0
917,-21,-315,-31.738,-15.747,-5.920,5.0,17.0,18.0,37.0,8.0
900,-8,-307,-23.865,-6.775,-6.897,6.0,16.0,17.0,35.0,7.0
932,-15,-237,-19.287,2.686,-2.441,5.0,16.0,18.0,35.0,7.0
907,-45,-181,-20.203,4.761,122,5.0,16.0,18.0,35.0,8.0
910,-60,-163,-24.231,9.827,1.404,6.0,16.0,18.0,35.0,7.0
926,-68,-173,-28.198,8.911,1.465,6.0,16.0,17.0,36.0,7.0
899,-66,-246,-29.541,7.385,-2.319,5.0,16.0,17.0,36.0,7.0
895,-43,-277,-27.466,9.766,-5.249,5.0,16.0,18.0,35.0,8.0
937,-62,-245,-21.118,15.869,-6.897,5.0,16.0,18.0,35.0,7.0
938,-97,-238,-24.536,16.479,305,5.0,16.0,17.0,35.0,8.0
917,-87,-248,-31.799,16.418,4.333,6.0,16.0,18.0,36.0,7.0
882,-72,-276,-32.837,17.944,4.333,5.0,16.0,18.0,37.0,7.0
913,-75,-258,-30.701,23.071,1.770,5.0,17.0,16.0,35.0,9.0
953,-108,-212,-28.687,17.334,-1.587,6.0,16.0,17.0,36.0,8.0
949,-124,-215,-36.621,3.967,-2.686,6.0,16.0,19.0,36.0,7.0
